No,depto,Municipio,Violencia,Pobreza
1,Ahuachapan ,Ahuachapan ,19.1,20
2,Ahuachapan ,Apaneca ,29.7,15.7
3,Ahuachapan ,Atiquizaya ,15.02,13.9
4,Ahuachapan ,Concepcion de Ataco ,34.1,29
5,Ahuachapan ,El Refugio ,15.4,9.9
6,Ahuachapan ,Guaymango ,34.56,47.2
7,Ahuachapan ,Jujutla ,30.48,35.7
8,Ahuachapan ,San Francisco Menendez ,4,7
9,Ahuachapan ,San Lorenzo ,4,8
10,Ahuachapan ,San Pedro Puxtla ,28.2,39.4
11,Ahuachapan ,Tacuba ,41.12,42.2
12,Ahuachapan ,Turin ,24.58,16
13,Cabanas ,Cinquera ,50.19,52.4
14,Cabanas ,Guacotecti ,8,7
15,Cabanas ,Ilobasco ,31.66,31
16,Cabanas ,Jutiapa ,53.34,53.9
17,Cabanas ,San Isidro ,18.8,28
18,Cabanas ,Sensuntepeque ,29.1,25
19,Cabanas ,Tejutepeque ,19.89,36
20,Cabanas ,Victoria ,38.66,42.1
21,Cabanas ,Villa Dolores ,43.04,37.9
22,Chalatenango ,Agua Caliente ,27.83,32.9
23,Chalatenango ,Arcatao ,39.59,48.2
24,Chalatenango ,Azacualpa ,26.9,27
25,Chalatenango ,Chalatenango ,24.32,17.7
26,Chalatenango ,Citala ,2,5
27,Chalatenango ,Comalapa ,32.31,40
28,Chalatenango ,Concepcion Quezaltepeque ,15.82,31.8
29,Chalatenango ,Dulce Nombre de Maria ,2,4
30,Chalatenango ,El Carrizal ,22.53,40.3
31,Chalatenango ,El Paraiso ,16,8
32,Chalatenango ,La Laguna ,28.49,47.2
33,Chalatenango ,La Palma ,3,8
34,Chalatenango ,La Reina ,4,7
35,Chalatenango ,Las Vueltas ,29.66,45.8
36,Chalatenango ,Nombre de Jesus ,23.95,36.3
37,Chalatenango ,Nueva Concepcion ,6,3
38,Chalatenango ,Nueva Trinidad ,28.2,40.4
39,Chalatenango ,Ojos de Agua ,41.05,50.6
40,Chalatenango ,Potonico ,30.54,47.2
41,Chalatenango ,San Antonio de la Cruz ,23.57,42.6
42,Chalatenango ,San Antonio de los Ranchos ,45.05,49.7
43,Chalatenango ,San Fernando ,35.52,59.7
44,Chalatenango ,San Francisco Lempa ,29.24,31.6
45,Chalatenango ,San Francisco Morazan ,42.79,47.9
46,Chalatenango ,San Ignacio ,4,6
47,Chalatenango ,San Isidro Labrador ,38.52,58.6
48,Chalatenango ,San Jose Cancasque ,49.11,58.1
49,Chalatenango ,San Jose Las Flores ,41.68,41.8
50,Chalatenango ,San Luis del Carmen ,21.22,37.7
51,Chalatenango ,San Miguel de Mercedes ,19.46,34.5
52,Chalatenango ,San Rafael ,27.8,9
53,Chalatenango ,Santa Rita ,19.6,24
54,Chalatenango ,Tejutla ,28.9,24
55,Cuscatlan ,Candelaria ,3,1
56,Cuscatlan ,Cojutepeque ,23.5,10.1
57,Cuscatlan ,El Carmen ,4,8
58,Cuscatlan ,El Rosario ,32.91,33.5
59,Cuscatlan ,Monte San Juan ,41.25,34.8
60,Cuscatlan ,Oratorio de Concepcion ,7,7
61,Cuscatlan ,San Bartolome Perulapia ,13.48,12.6
